id;alive;dead;total;prop_alive;rep;worm;bac;infection;conc;bt_conc_ordered;exp;bac2
58;35;0;35;1;2;my316;OP50;BT247;100;2_247_100;exp9;OP50
58;35;0;35;1;1;my316;OP50;BT247;100;2_247_100;exp9;OP50
58;32;0;32;1;3;my316;OP50;BT247;100;2_247_100;exp9;OP50
68;29;0;29;1;2;my316;MT11;BT407;25;1_407_25;exp9;MT11 (ancestral-like, slightly fuzzy)
68;29;0;29;1;3;my316;MT11;BT407;25;1_407_25;exp9;MT11 (ancestral-like, slightly fuzzy)
68;31;0;31;1;1;my316;MT11;BT407;25;1_407_25;exp9;MT11 (ancestral-like, slightly fuzzy)
69;14;14;28;0.5;3;my316;MT13;BT247;50;3_247_50;exp9;MT13 (ancestral-like, colony size variation)
69;16;11;27;0.592592593;1;my316;MT13;BT247;50;3_247_50;exp9;MT13 (ancestral-like, colony size variation)
69;11;5;16;0.6875;2;my316;MT13;BT247;50;3_247_50;exp9;MT13 (ancestral-like, colony size variation)
73;34;0;34;1;1;my316;MT14;BT407;25;1_407_25;exp9;MT14 (wrinkly)
73;29;0;29;1;3;my316;MT14;BT407;25;1_407_25;exp9;MT14 (wrinkly)
73;29;0;29;1;2;my316;MT14;BT407;25;1_407_25;exp9;MT14 (wrinkly)
74;10;14;24;0.416666667;2;my316;MT14;BT247;50;3_247_50;exp9;MT14 (wrinkly)
74;7;16;23;0.304347826;3;my316;MT14;BT247;50;3_247_50;exp9;MT14 (wrinkly)
74;5;18;23;0.217391304;1;my316;MT14;BT247;50;3_247_50;exp9;MT14 (wrinkly)
75;5;23;28;0.178571429;1;my316;MT14;BT247;100;2_247_100;exp9;MT14 (wrinkly)
75;5;16;21;0.238095238;2;my316;MT14;BT247;100;2_247_100;exp9;MT14 (wrinkly)
75;7;24;31;0.225806452;3;my316;MT14;BT247;100;2_247_100;exp9;MT14 (wrinkly)
76;30;0;30;1;3;my316;MYb11;BT407;25;1_407_25;exp9;MYb11
76;30;0;30;1;2;my316;MYb11;BT407;25;1_407_25;exp9;MYb11
76;31;0;31;1;1;my316;MYb11;BT407;25;1_407_25;exp9;MYb11
81;14;12;26;0.538461538;2;my316;MT12;BT247;50;3_247_50;exp9;MT12 (wrinkly)
81;16;10;26;0.615384615;3;my316;MT12;BT247;50;3_247_50;exp9;MT12 (wrinkly)
81;7;19;26;0.269230769;1;my316;MT12;BT247;50;3_247_50;exp9;MT12 (wrinkly)
82;13;8;21;0.619047619;2;my316;MT11;BT247;50;3_247_50;exp9;MT11 (ancestral-like, slightly fuzzy)
82;11;7;18;0.611111111;3;my316;MT11;BT247;50;3_247_50;exp9;MT11 (ancestral-like, slightly fuzzy)
82;20;8;28;0.714285714;1;my316;MT11;BT247;50;3_247_50;exp9;MT11 (ancestral-like, slightly fuzzy)
84;30;0;30;1;2;my316;OP50;BT247;50;3_247_50;exp9;OP50
84;29;1;30;0.966666667;1;my316;OP50;BT247;50;3_247_50;exp9;OP50
89;4;20;24;0.166666667;2;my316;MT12;BT247;25;4_247_25;exp9;MT12 (wrinkly)
